Gene	Total_Variantes	Variantes_Com_Score_AM	Cobertura_AM_%	Score_Medio_AM	Score_Max_AM	Score_Min_AM	Variantes_Patogenicas	Variantes_Benignas
GAPDH	284	40	14.1	0.1453	1.0	0.0	4	35
GATA3	932	318	34.1	0.2745	1.0	0.0	71	227
GBP1	650	188	28.9	0.2604	1.0	0.0	37	141
GBP3	545	112	20.6	0.3399	1.0	0.0	35	72
GBP5	638	196	30.7	0.2983	1.0	0.0	48	137
GEM	365	138	37.8	0.3743	1.0	0.0	49	81
GINS1	273	154	56.4	0.316	1.0	0.0	42	102
GJB2	330	198	60.0	0.1534	1.0	0.0	25	170
GJB6	225	65	28.9	0.2176	1.0	0.0	10	50
GLUL	318	104	32.7	0.2615	0.999	0.0	20	76
GOLIM4	732	190	26.0	0.3696	1.0	0.0	62	106
GPR35	372	144	38.7	0.3389	1.0	0.0	38	88
GPT	712	226	31.7	0.2942	1.0	0.0	58	158
GZMA	276	72	26.1	0.3572	1.0	0.0	24	43
GZMB	310	110	35.5	0.2931	1.0	0.0	27	76
GZMK	297	72	24.2	0.3196	1.0	0.0	22	47
HCAR3	438	116	26.5	0.3029	1.0	0.0	30	78
HERC6	1007	284	28.2	0.3002	1.0	0.0	70	188
HHAT	644	232	36.0	0.3455	1.0	0.0	71	143
HIF1A	655	131	20.0	0.2934	1.0	0.0	30	86
HK2	1001	346	34.6	0.3439	1.0	0.0	110	220
HLA-A	671	106	15.8	0.2695	1.0	0.0	24	78
HLA-B	666	88	13.2	0.3683	1.0	0.0	32	56
HLA-C	650	82	12.6	0.3701	1.0	0.0	28	51
HLA-DQB1	606	0	0.0	N/A	N/A	N/A	0	0
HLA-DRB1	406	40	9.9	0.3976	1.0	0.0	14	24
HSPA5	383	74	19.3	0.2693	0.999	0.0	18	52
HSPA6	800	212	26.5	0.3783	1.0	0.0	74	128
HYAL4	534	168	31.5	0.2892	1.0	0.0	41	114
ICAM1	571	144	25.2	0.3878	1.0	0.0	49	85
ICOS	201	92	45.8	0.2504	1.0	0.0	19	68
IFI16	909	226	24.9	0.3469	1.0	0.0	64	137
IFI6	139	22	15.8	0.3235	1.0	0.0	6	16
IFIH1	1840	1310	71.2	0.3172	1.0	0.0	364	862
IFIT3	400	66	16.5	0.3299	1.0	0.0	18	44
IFNA1	165	25	15.2	0.3818	1.0	0.0	9	16
IFNG	195	44	22.6	0.3873	1.0	0.0	14	25
IFNGR1	710	326	45.9	0.3064	1.0	0.0	81	212
IFNLR1	536	140	26.1	0.2596	1.0	0.0	31	102
IGF2	338	100	29.6	0.3421	1.0	0.0	31	63
IGF2-AS	43	0	0.0	N/A	N/A	N/A	0	0
IL10	197	104	52.8	0.3255	1.0	0.0	31	69
IL12B	406	210	51.7	0.2692	1.0	0.0	47	151
IL13	149	40	26.8	0.2275	0.999	0.0	7	30
IL15	140	16	11.4	0.3781	0.999	0.0	6	8
IL17A	195	86	44.1	0.3177	1.0	0.0	22	57
IL17F	269	158	58.7	0.3283	1.0	0.0	46	101
IL17RA	1343	754	56.1	0.3026	1.0	0.0	188	519
IL18	119	22	18.5	0.405	1.0	0.0	7	13
IL1A	244	34	13.9	0.3399	0.984	0.0	9	21
IL1B	243	56	23.0	0.3001	1.0	0.0	15	37
IL1F10	164	36	22.0	0.3634	1.0	0.0	12	22
IL1R1	447	118	26.4	0.3	1.0	0.0	27	78
IL1RN	189	84	44.4	0.2269	1.0	0.0	10	64
IL2	93	16	17.2	0.1294	0.31	0.0	0	16
IL21	161	102	63.4	0.2375	1.0	0.0	19	75
IL22	179	48	26.8	0.2962	1.0	0.0	11	34
IL23A	146	26	17.8	0.4597	1.0	0.0	11	13
IL23R	685	296	43.2	0.2671	1.0	0.0	62	206
IL2RA	389	228	58.6	0.285	1.0	0.0	55	156
IL33	297	48	16.2	0.2245	1.0	0.0	8	36
IL36RN	170	70	41.2	0.2287	1.0	0.0	9	53
IL37	259	82	31.7	0.2801	0.999	0.0	18	59
IL4	130	33	25.4	0.3388	1.0	0.0	9	22
IL5	135	28	20.7	0.3295	1.0	0.0	7	16
IL6	315	39	12.4	0.3422	1.0	0.0	12	26
IL6R	557	203	36.4	0.2454	1.0	0.0	40	150
IL7	414	32	7.7	0.3386	1.0	0.0	9	21
INS	144	66	45.8	0.3911	1.0	0.0	25	35
INS-IGF2	429	68	15.9	0.3437	1.0	0.0	24	43
IRAK1	537	188	35.0	0.289	1.0	0.0	45	129
IRS1	1340	275	20.5	0.2627	1.0	0.0	64	200
ITGA2B	1322	598	45.2	0.3587	1.0	0.0	188	369
ITGAL	998	221	22.1	0.267	1.0	0.0	48	158
ITGAM	1418	730	51.5	0.3072	1.0	0.0	192	506
ITGAX	1422	468	32.9	0.3493	1.0	0.0	140	294
JAK2	1572	432	27.5	0.3232	1.0	0.0	124	286
JAK3	1862	728	39.1	0.2746	1.0	0.0	165	510
JDP2	157	40	25.5	0.2154	0.999	0.0	7	31
JRKL	414	96	23.2	0.335	1.0	0.0	27	64
JUN	483	38	7.9	0.3071	0.987	0.0	8	27
JUNB	310	38	12.3	0.2867	1.0	0.0	8	25
JUND	352	46	13.1	0.4626	1.0	0.0	20	21
KANK4	1226	498	40.6	0.273	1.0	0.0	111	356
KDM5B	1418	338	23.8	0.2008	1.0	0.0	53	270
KIR3DL1	725	284	39.2	0.296	1.0	0.0	71	198
KIR3DL2	683	236	34.6	0.3569	1.0	0.0	72	148
KLRB1	225	60	26.7	0.3737	1.0	0.0	22	35
LAMP1	496	170	34.3	0.3266	1.0	0.0	43	112
LAMP2	505	394	78.0	0.3254	1.0	0.0	113	249
LEP	150	52	34.7	0.3627	1.0	0.0	15	31
LILRA5	343	126	36.7	0.2605	1.0	0.0	27	90
LILRB2	780	184	23.6	0.2783	1.0	0.0	44	129
LMO7	1525	0	0.0	N/A	N/A	N/A	0	0
LRRK2	4115	2394	58.2	0.2776	1.0	0.0	553	1684
LTA	161	62	38.5	0.3018	1.0	0.0	17	42
LURAP1L	309	74	23.9	0.3201	1.0	0.0	19	50
LYZ	113	29	25.7	0.2743	1.0	0.0	6	19
MAF	604	144	23.8	0.2726	1.0	0.0	36	101
MBL2	251	64	25.5	0.3358	1.0	0.0	19	42
MCAM	715	198	27.7	0.3224	1.0	0.0	57	127
MCL1	605	43	7.1	0.1565	0.802	0.0	3	35
MEFV	1550	1008	65.0	0.2885	1.0	0.0	233	697
MICA	332	2	0.6	0.063	0.096	0.03	0	2
MIX23	167	30	18.0	0.264	0.997	0.0	6	22
MMP1	494	92	18.6	0.252	1.0	0.0	20	68
MMP3	523	149	28.5	0.241	1.0	0.0	27	114
MMP7	292	67	22.9	0.3089	1.0	0.0	19	46
MMP9	1005	470	46.8	0.3844	1.0	0.0	169	278
MRPS23	208	60	28.8	0.3014	0.999	0.0	16	40
MSN	414	234	56.5	0.2428	1.0	0.0	48	175
MT-CO2 / COX2	142	0	0.0	N/A	N/A	N/A	0	0
MTHFR	1149	328	28.5	0.2623	1.0	0.0	69	236
MUCL1	116	32	27.6	0.3242	1.0	0.0	8	21
MX1	752	118	15.7	0.3695	1.0	0.0	40	71
MYC	867	38	4.4	0.4307	0.999	0.0	15	19
MYNN	487	112	23.0	0.4174	1.0	0.0	42	64
NABP1	214	54	25.2	0.293	1.0	0.0	16	35
NAMPT	264	36	13.6	0.3062	1.0	0.0	6	23
NCOA7	815	132	16.2	0.2869	1.0	0.0	31	91
NDUFS1	884	384	43.4	0.3326	1.0	0.0	123	249
NFKB1	721	68	9.4	0.3611	1.0	0.0	21	42
NKG7	184	66	35.9	0.3098	1.0	0.0	17	43
NLRP3	925	0	0.0	N/A	N/A	N/A	0	0
NMI	311	66	21.2	0.2702	1.0	0.0	14	44
NOD2	1033	140	13.6	0.3557	1.0	0.0	45	82
NOS2	1250	430	34.4	0.327	1.0	0.0	133	278
NOXRED1	335	98	29.3	0.284	1.0	0.0	22	67
NPEPPS	608	112	18.4	0.2459	0.998	0.0	20	82
NT5C3A	295	0	0.0	N/A	N/A	N/A	0	0
OLR1	265	68	25.7	0.237	1.0	0.0	14	50
OSMR	1198	282	23.5	0.301	1.0	0.0	72	190
PDCD1	489	98	20.0	0.2946	1.0	0.0	24	68
PDLIM7	561	154	27.5	0.3144	1.0	0.0	43	99
PER1	1629	438	26.9	0.3918	1.0	0.0	152	256
PFDN4	103	26	25.2	0.2053	1.0	0.0	3	23
PFDN5	160	30	18.8	0.3618	0.988	0.0	8	14
PFKL	871	258	29.6	0.3274	1.0	0.0	80	167
PGD	480	100	20.8	0.3952	1.0	0.0	40	59
PGK1	1820	254	14.0	0.287	1.0	0.0	64	177
PHEX	1147	562	49.0	0.39	1.0	0.0	210	327
PI3	151	60	39.7	0.2864	1.0	0.0	13	41
PIK3CD	1046	684	65.4	0.2921	1.0	0.0	169	467
PINK1	785	288	36.7	0.3294	1.0	0.0	86	185
PLA2G4D	934	296	31.7	0.2742	1.0	0.0	64	207
PLCG1	1131	322	28.5	0.2843	1.0	0.0	79	222
PLG	1051	470	44.7	0.3227	1.0	0.0	129	307
PLIN5	699	216	30.9	0.284	1.0	0.0	51	152
PLS1	494	108	21.9	0.2242	1.0	0.0	18	84
PPARD	354	100	28.2	0.3284	1.0	0.0	28	65
PPARG	384	42	10.9	0.4143	1.0	0.0	16	24
PPARGC1A	864	272	31.5	0.2855	1.0	0.0	69	190
PPARGC1B	1153	370	32.1	0.2686	1.0	0.0	84	263
PRDM1	1314	252	19.2	0.2875	1.0	0.0	61	168
PRF1	873	554	63.5	0.3162	1.0	0.0	151	355
PRTN3	298	72	24.2	0.2563	1.0	0.0	13	54
PSG2	542	184	33.9	0.299	1.0	0.0	49	122
PSMC2	283	30	10.6	0.3421	1.0	0.0	9	18
PSMD7	258	62	24.0	0.1831	0.998	0.0	6	51
PSME2	193	38	19.7	0.3212	1.0	0.0	11	25
PTGS1	644	184	28.6	0.3353	1.0	0.0	60	117
PTGS2	435	100	23.0	0.3042	1.0	0.0	27	71
PTH	120	38	31.7	0.3325	1.0	0.0	10	23
PTPN22	634	0	0.0	N/A	N/A	N/A	0	0
PTX3	348	0	0.0	N/A	N/A	N/A	0	0
PYGL	1254	342	27.3	0.3509	1.0	0.0	115	218
RAC1	213	29	13.6	0.1705	1.0	0.0	4	24
RBM45	330	0	0.0	N/A	N/A	N/A	0	0
RELA	589	292	49.6	0.1948	1.0	0.0	40	228
RETN	117	20	17.1	0.3992	1.0	0.0	7	12
RGPD6	55	4	7.3	0.0125	0.05	0.0	0	4
RIT1	197	0	0.0	N/A	N/A	N/A	0	0
RORC	627	318	50.7	0.2977	1.0	0.0	83	215
RPL15	192	90	46.9	0.1673	1.0	0.0	9	75
RPL36AL	398	20	5.0	0.1588	0.624	0.0	2	17
RPL41	13	1	7.7	0.0	0.0	0.0	0	1
RPL7	284	60	21.1	0.1478	0.86	0.0	4	51
RPS19	187	40	21.4	0.2728	0.999	0.0	10	29
RPS21	201	4	2.0	0.0882	0.19	0.03	0	4
RPS26	62	16	25.8	0.1281	0.787	0.0	1	15
RPS6KB1	671	64	9.5	0.2354	1.0	0.0	11	46
RPS7	183	88	48.1	0.2067	1.0	0.0	14	71
RSAD2	448	112	25.0	0.3967	1.0	0.0	43	65
RUNX2	760	210	27.6	0.1621	1.0	0.0	29	176
RUNX3	375	86	22.9	0.2853	1.0	0.0	22	62
S100A12	112	32	28.6	0.2822	1.0	0.0	7	23
S100A8	199	16	8.0	0.3994	0.998	0.0	6	10
S100A9	115	38	33.0	0.2993	1.0	0.0	11	27
S100P	98	18	18.4	0.3244	0.987	0.0	6	12
SAA1	148	50	33.8	0.3295	1.0	0.0	13	30
SAMD9	2047	1214	59.3	0.29	1.0	0.0	334	800
SAR1A	107	16	15.0	0.3681	0.987	0.0	7	8
SCN1A	3681	2788	75.7	0.3572	1.0	0.0	972	1737
SEC14L2	366	74	20.2	0.2591	1.0	0.0	18	52
SEC24B	1214	306	25.2	0.266	1.0	0.0	68	221
SELL	336	64	19.0	0.3013	1.0	0.0	14	41
SERPINA1	562	250	44.5	0.2995	1.0	0.0	60	172
SERPINB1	442	106	24.0	0.2958	1.0	0.0	27	76
SERPINE1	568	162	28.5	0.4083	1.0	0.0	62	93
SF3B1	1365	148	10.8	0.3744	1.0	0.0	50	87
SF3B3	687	138	20.1	0.2636	1.0	0.0	27	102
SGK1	487	40	8.2	0.2522	1.0	0.0	8	29
SH3BGRL3	93	24	25.8	0.2719	1.0	0.0	5	17
SIAH1	116	26	22.4	0.3443	1.0	0.0	8	17
SLC1A2	689	398	57.8	0.2997	1.0	0.0	101	267
SLC2A3	512	150	29.3	0.2815	1.0	0.0	36	107
SLC51B	139	52	37.4	0.2075	0.991	0.0	7	41
SLC7A11	496	156	31.5	0.263	1.0	0.0	36	113
SLC7A5	504	142	28.2	0.3484	1.0	0.0	43	88
SMAD3	868	626	72.1	0.3419	1.0	0.0	210	402
SMARCA4	5384	3319	61.6	0.1864	1.0	0.0	572	2632
SMOX	556	218	39.2	0.3521	1.0	0.0	67	144
SOCS1	339	76	22.4	0.2525	1.0	0.0	13	57
SOD2	575	44	7.7	0.1498	1.0	0.0	4	37
SOST	261	92	35.2	0.2589	1.0	0.0	21	66
SOX4	561	156	27.8	0.2261	1.0	0.0	26	118
SP7	461	164	35.6	0.3102	1.0	0.0	45	112
SPCS3	99	14	14.1	0.3459	1.0	0.0	4	9
SPON2	449	104	23.2	0.3071	1.0	0.0	27	68
SPP1	287	0	0.0	N/A	N/A	N/A	0	0
SSR1	291	44	15.1	0.3118	0.999	0.0	13	29
STAT1	882	348	39.5	0.2817	1.0	0.0	90	245
STAT3	1114	466	41.8	0.3575	1.0	0.0	159	289
STIM1	818	64	7.8	0.3518	0.998	0.0	21	39
SUOX	710	398	56.1	0.2992	1.0	0.0	103	270
SYT1	291	104	35.7	0.1745	1.0	0.0	13	87
TALDO1	518	218	42.1	0.3258	1.0	0.0	66	139
TBX21	544	172	31.6	0.2403	1.0	0.0	29	124
TEK	1155	430	37.2	0.3523	1.0	0.0	124	261
TFPI	277	82	29.6	0.3321	1.0	0.0	23	50
TGFA	247	48	19.4	0.3551	1.0	0.0	15	28
TGFB1	1223	328	26.8	0.2892	1.0	0.0	84	223
TGFBR3	888	242	27.3	0.2871	1.0	0.0	56	171
TIMP1	140	33	23.6	0.3049	1.0	0.0	9	20
TLR2	684	136	19.9	0.2688	1.0	0.0	29	92
TLR3	1073	554	51.6	0.3212	1.0	0.0	148	359
TLR4	905	316	34.9	0.3415	1.0	0.0	94	196
TLR9	1025	362	35.3	0.3179	1.0	0.0	95	239
TMBIM6	181	28	15.5	0.4128	0.999	0.0	12	16
TMEM45A	247	50	20.2	0.2156	1.0	0.0	8	40
TMPRSS11B	447	92	20.6	0.3026	1.0	0.0	26	61
TNF	192	60	31.2	0.3578	1.0	0.0	18	40
TNFAIP3	1227	524	42.7	0.2968	1.0	0.0	131	351
TNFAIP6	275	64	23.3	0.3259	1.0	0.0	19	42
TNFAIP8	205	32	15.6	0.3446	1.0	0.0	11	19
TNFRSF10A	578	134	23.2	0.2979	1.0	0.0	30	92
TNFRSF1A	744	480	64.5	0.3311	1.0	0.0	137	310
TNFRSF1B	511	102	20.0	0.2434	1.0	0.0	19	76
TNFRSF9	309	142	46.0	0.2642	1.0	0.0	31	103
TNFSF10	285	58	20.4	0.279	1.0	0.0	13	39
TNFSF11	381	202	53.0	0.239	1.0	0.0	34	152
TNFSF13B	169	22	13.0	0.195	0.978	0.0	2	18
TNFSF15	235	58	24.7	0.3478	1.0	0.0	18	35
TNIP1	595	122	20.5	0.3645	1.0	0.0	42	75
TOMM5	108	12	11.1	0.3607	0.996	0.0	4	8
TOMM7	58	8	13.8	0.0544	0.155	0.0	0	8
TPST2	445	154	34.6	0.3113	1.0	0.0	41	103
TPT1	119	7	5.9	0.115	0.34	0.01	0	7
TRAF2	571	134	23.5	0.2268	1.0	0.0	22	98
TRAF3IP2	448	36	8.0	0.2994	1.0	0.0	10	25
TRAF4	899	68	7.6	0.3422	1.0	0.0	22	46
TRAF5	499	118	23.6	0.3466	1.0	0.0	35	71
TRBV20OR9-2	100	0	0.0	N/A	N/A	N/A	0	0
TRIM22	982	150	15.3	0.3282	1.0	0.0	41	95
TRIM69	514	162	31.5	0.3228	1.0	0.0	43	105
TTC39B	609	0	0.0	N/A	N/A	N/A	0	0
TYK2	1449	730	50.4	0.2928	1.0	0.0	185	504
TYMP	866	396	45.7	0.3394	1.0	0.0	116	251
UBE2L3	57	6	10.5	0.1567	0.47	0.015	0	4
UQCR10	110	26	23.6	0.3042	0.977	0.0	6	20
UTP11	232	42	18.1	0.4047	1.0	0.0	15	25
VCAM1	721	232	32.2	0.3367	1.0	0.0	67	147
VDR	454	192	42.3	0.3196	1.0	0.0	54	125
VEGFA	562	60	10.7	0.3997	1.0	0.0	23	35
VIM	475	110	23.2	0.3375	1.0	0.0	32	66
WDR1	702	226	32.2	0.3028	1.0	0.0	59	153
WNK1	3290	1524	46.3	0.1023	1.0	0.0	110	1369
XAF1	341	76	22.3	0.2678	1.0	0.0	16	55
XBP1	334	34	10.2	0.4021	0.998	0.0	11	19
YOD1	363	82	22.6	0.2684	1.0	0.0	19	57
YWHAB	191	32	16.8	0.393	1.0	0.0	12	17
ZC3H12A	559	164	29.3	0.3378	1.0	0.0	49	104
ZFP36	416	26	6.2	0.2349	1.0	0.006	3	19
ZMIZ1	1236	536	43.4	0.2539	1.0	0.0	118	391
ZNF316	845	28	3.3	0.4093	0.998	0.0	12	16
ZNF415	484	0	0.0	N/A	N/A	N/A	0	0
ZNF483	695	138	19.9	0.3175	1.0	0.0	31	84
